Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06004,988.8,380.4,139.2,61.6,"清水区",0.7570
tr_img_06005,1529.3,365.6,2670.4,244.0,"札幌市中央区中島公園1-15",0.9365
tr_img_06001,887.0,266.4,364.4,124.0,"北給田",0.9984
tr_img_06001,725.0,343.0,114.8,48.4,"つぎは",0.9371
tr_img_06001,836.0,345.6,60.0,43.2,"中",0.9416
tr_img_06001,893.2,349.4,80.8,50.8,"給",0.9854
tr_img_06001,962.4,353.2,52.0,43.2,"田",0.9975
tr_img_06001,979.4,529.2,54.8,68.8,"荻",0.9817
tr_img_06001,1088.8,533.0,49.6,50.8,"行",0.9999
tr_img_06001,1091.4,606.8,44.4,56.0,"先",0.9937
tr_img_06001,980.6,640.0,57.2,71.2,"窪",0.9979
tr_img_06001,988.4,762.4,72.8,51.2,"駅",0.9999
tr_img_06003,1502.4,860.1,1544.8,175.2,"南13条西161目",0.8659
tr_img_06007,3139.6,214.8,466.4,137.6,"おし",0.9888
tr_img_06007,2047.4,1484.1,3864.4,1314.8,"アイス",0.9987
tr_img_06007,2895.8,2708.4,298.0,47.2,"罪をかし誤け",0.5701
tr_img_06009,1081.0,434.3,306.0,139.2,"日本橋",0.9998
tr_img_06009,1073.9,563.3,310.0,137.2,"人形町",0.9966
tr_img_06009,1122.4,700.8,202.4,119.2,"丁目",0.9929
tr_img_06010,672.8,299.6,496.8,166.4,"日本橋",0.9991
tr_img_06010,671.5,478.7,500.8,164.8,"人形町",0.9991
tr_img_06010,673.0,678.4,513.2,158.4,"一丁目",0.9753
tr_img_06013,1080.4,305.3,276.0,65.2,"ザシティベルシティ",0.9435
tr_img_06013,1071.2,344.1,128.0,50.4,"元住吉店",0.9997
tr_img_06013,1075.8,503.2,330.0,145.6,"駐輪場",1.0000
tr_img_06013,932.4,705.8,92.8,42.8,"ご利用",0.9999
tr_img_06013,931.4,743.8,61.2,37.2,"可能",0.9236
tr_img_06013,931.4,780.8,61.2,36.8,"時間",0.9999
tr_img_06002,1505.6,2247.0,1424.8,314.0,"カツ井とんかつ",0.8858
tr_img_06002,1477.6,3080.8,1267.2,403.2,"営業中",0.9857
tr_img_06014,3002.7,828.4,1013.6,692.8,"メガ水",0.7065
tr_img_06014,712.2,1127.6,838.8,264.8,"さ一ぼろ地下街",0.9484
tr_img_06014,1873.2,1625.9,180.0,75.6,"水野メイネ",0.7691
tr_img_06014,1881.6,1716.0,214.4,111.2,"補聴器",0.9996
tr_img_06014,2219.6,2179.8,104.8,30.0,"定者技優者がい",0.6754
tr_img_06014,2226.0,2220.8,134.4,43.2,"定補聴器専円店",0.8709
