Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06004,988.8,380.2,139.5,61.5,"清水区",0.7449
tr_img_06005,1529.2,365.6,2670.5,244.0,"札幌市中央区中島公園1-15",0.9521
tr_img_06001,886.9,266.4,364.5,124.0,"北給田",0.9955
tr_img_06001,725.0,343.0,115.0,48.0,"つぎは",0.9452
tr_img_06001,834.5,345.5,57.0,43.0,"中",0.9440
tr_img_06001,893.2,349.5,75.5,51.0,"給",0.9997
tr_img_06001,962.5,353.2,52.0,43.5,"田",0.9991
tr_img_06001,978.0,529.0,57.0,69.0,"荻",0.9661
tr_img_06001,1088.8,533.0,49.5,51.0,"行",0.9999
tr_img_06001,807.2,556.0,44.5,46.0,"具",0.5845
tr_img_06001,805.8,586.5,36.5,41.0,"正",0.5748
tr_img_06001,1091.5,607.0,44.0,56.0,"先",0.9989
tr_img_06001,980.8,640.2,57.5,71.5,"窪",0.9988
tr_img_06001,988.5,761.2,73.0,53.5,"駅",0.9982
tr_img_06003,1502.5,860.1,1545.0,175.5,"南13条西161目",0.8725
tr_img_06007,3139.5,214.8,466.0,137.5,"おビし",0.6832
tr_img_06007,2047.5,1484.1,3865.0,1315.0,"アイス",0.9990
tr_img_06007,2896.0,2708.2,298.0,47.5,"罪を少し課す",0.5236
tr_img_06009,1081.0,434.2,306.0,139.5,"日本橋",0.9998
tr_img_06009,1074.0,563.0,309.0,137.0,"人形町",0.9988
tr_img_06009,1122.5,700.8,203.0,119.5,"丁目",0.9920
tr_img_06011,1483.5,926.2,2961.0,647.5,"暖房能力NO",0.8079
tr_img_06011,390.8,1327.2,725.5,78.5,"国内家庭用エアコン6 3kW",0.9091
tr_img_06011,1023.8,1343.2,599.5,78.5,"7 1kWクラスにおいて",0.8951
tr_img_06011,1896.2,1361.0,1097.5,88.0,"*JIS低温時定格暖房能力MSZ-ZD6316S;",0.9077
tr_img_06011,863.0,1406.2,227.0,54.5,"2015年",1.0000
tr_img_06011,1168.8,1412.6,391.5,62.0,"11月25日現在",1.0000
tr_img_06011,2827.0,1691.2,104.0,32.5,"ニクイ0",0.8123
tr_img_06011,745.0,1731.5,597.0,101.0,"寒冷地仕様",0.9941
tr_img_06011,1863.2,1994.2,483.5,136.5,"太バ照霧ヶ峰",0.6935
tr_img_06011,2818.8,2145.5,410.5,86.0,"テレビCM炭央中!",0.7980
tr_img_06002,1735.2,1477.0,1098.5,921.0,"時間",0.9997
tr_img_06002,982.8,1504.4,536.5,670.0,"ご利用",0.9999
tr_img_06002,1447.5,1478.5,43.0,42.0,"可能",0.9757
tr_img_06013,1080.5,304.2,276.0,63.5,"ザシティベルシティ",0.9327
tr_img_06013,1071.0,344.1,128.0,50.5,"元住吉店",0.9989
tr_img_06013,1075.8,503.1,330.5,145.5,"駐輪場",0.9997
tr_img_06013,932.2,705.8,92.5,42.5,"ご利用",0.9999
tr_img_06013,931.5,743.5,61.0,37.0,"可能",0.9757
tr_img_06013,931.5,780.5,61.0,37.0,"時間",0.9997
tr_img_06010,673.0,299.8,497.0,166.5,"日本橋",0.9986
tr_img_06010,671.6,478.6,501.0,165.0,"人形町",0.9961
tr_img_06010,674.2,678.5,516.5,158.0,"一丁目",0.9828
tr_img_06012,1378.1,515.5,1953.5,281.0,"北10条東11丁目",0.9866
tr_img_06014,2990.5,833.4,1039.0,703.0,"メガ永",0.6950
tr_img_06014,712.0,1127.6,839.0,264.5,"さ一ぼろ地下街",0.9481
tr_img_06014,1873.2,1625.8,179.5,75.5,"水野メネ",0.9746
tr_img_06014,1881.8,1716.0,214.5,111.0,"補聴器",0.9995
tr_img_06014,2219.5,2180.0,105.0,30.0,"起祖技後者がい",0.5530
tr_img_06014,2226.0,2218.5,126.0,30.0,"定補覧器専門店",0.8958
tr_img_06014,2219.8,2259.2,88.5,34.5,"(福社法指定店",0.9397
tr_img_06016,735.4,1065.6,496.0,152.0,"日本橋",0.7817
tr_img_06016,738.1,1226.5,489.5,134.0,"人飛彦町",0.6489
tr_img_06019,2024.8,162.2,272.5,190.5,"Ai込!",0.6698
tr_img_06019,697.5,200.0,209.0,205.0,"歳",0.9986
tr_img_06019,695.8,334.0,199.5,82.0,"からの",0.9987
tr_img_06019,1155.0,734.0,1054.0,549.0,"黒王",0.7364
tr_img_06019,1934.5,1176.5,138.0,210.0,"は",0.8970
tr_img_06019,1235.5,1512.0,867.0,151.0,"まぐろとかつおで",0.8482
tr_img_06019,286.6,2012.9,156.0,119.0,"タウツン",0.7597
tr_img_06019,293.2,2116.8,163.5,108.5,"ビタミンビ",0.8618
tr_img_06019,331.9,2335.8,167.5,135.5,"禁合",0.5763
tr_img_06019,338.2,2435.0,234.5,159.0,"栄養食",0.9978
tr_img_06019,1939.4,2376.6,179.5,85.0,"盛り付け",0.9310
tr_img_06019,377.0,2676.0,336.0,167.0,"15歳から0",0.9307
tr_img_06019,454.2,2963.2,479.5,128.5,"皮店板毛の複康にで燥して",0.7396
tr_img_06020,1670.5,457.9,883.0,150.5,"水天宮前駅",0.9986
tr_img_06020,778.4,462.0,669.5,148.0,"半蔵門線",0.9999
tr_img_06020,1487.4,1099.0,506.0,112.0,"宮天光",0.8655
tr_img_06020,1831.5,1103.0,155.0,75.0,"白山",0.9013
tr_img_06015,1683.5,843.6,2225.0,301.0,"吉川内科・循環器料クリ二ック",0.9429
tr_img_06018,1126.0,267.8,307.0,125.5,"豊平区",0.9998
tr_img_06018,1193.5,1138.8,301.0,1516.5,"中の目1条3丁目1",0.8514
tr_img_06022,1474.8,964.2,1053.5,143.5,"空気単口消火検",0.9643
tr_img_06023,1501.2,826.9,780.5,161.5,"静岡市役所",0.9995
tr_img_06023,1818.6,1077.2,425.0,109.5,"人天王斗人乱",0.5443
tr_img_06023,1321.0,1072.5,393.0,79.0,"静図市役所",0.9068
tr_img_06023,1437.0,1269.5,625.0,145.0,"葵区役所",1.0000
tr_img_06023,99.6,1379.9,106.5,116.0,"館",1.0000
tr_img_06023,1279.0,1512.0,322.0,88.0,"葵区役所",1.0000
tr_img_06023,1689.5,1510.5,364.0,79.0,"OI30I子",0.5379
tr_img_06023,1359.5,1716.8,490.0,157.5,"紺屋町",0.9994
tr_img_06023,67.8,1783.0,90.5,82.0,"階",1.0000
tr_img_06023,1237.0,1954.5,264.0,104.0,"紺屋町",0.8741
tr_img_06023,1367.5,2214.2,480.0,157.5,"呉服町",0.9870
tr_img_06023,1249.9,2458.5,272.5,112.0,"臭服町",0.8652
tr_img_06023,1359.5,2688.5,492.0,169.0,"七間町",0.9997
tr_img_06023,1259.6,2939.0,266.0,109.0,"七向町",0.9468
tr_img_06021,1233.2,173.8,174.5,68.5,"清水区",0.9991
tr_img_06021,1229.8,642.8,121.5,818.5,"中之郷一一丁目",0.6535
tr_img_06026,1018.0,350.8,756.0,238.5,"休診中",0.9998
tr_img_06026,885.2,694.8,334.5,75.5,"初診・急患",0.9912
tr_img_06026,1191.2,692.0,240.5,59.0,"随時受付",1.0000
tr_img_06026,1077.6,940.8,576.5,73.5,"オズ通リ歯科医院",0.7565
tr_img_06028,1799.8,1638.8,1726.5,434.5,"ザ・カブ聖",0.6899
tr_img_06024,1564.0,1093.0,1305.0,520.0,"万世町",0.9998
tr_img_06029,877.9,1464.8,729.0,281.5,"出庫注意",0.9968
tr_img_06027,1458.2,120.8,187.5,71.5,"中原区",0.9999
tr_img_06031,1477.5,1176.0,1779.0,228.0,"中の島1条3丁目",0.9322
tr_img_06030,914.9,707.5,236.5,81.0,"五反田",0.9967
tr_img_06030,925.0,864.0,249.0,82.0,"丸子橋",0.9996
tr_img_06030,492.1,1141.5,87.0,35.0,"クランイークル",0.7551
tr_img_06030,494.8,1169.0,64.5,26.0,"元住吉",0.8622
tr_img_06032,926.9,242.2,1292.5,403.5,"やきとり家",0.9908
tr_img_06032,842.6,581.0,1387.5,557.0,"すみれ",0.9991
tr_img_06032,1608.5,661.8,136.0,172.5,"笑",0.9986
tr_img_06025,1600.0,665.0,1176.0,975.0,"薬",0.7807
tr_img_06025,1604.4,2417.1,152.0,888.0,"お受げいたしまま",0.6750
tr_img_06025,1752.5,2734.2,146.0,705.5,"処方士んでを",0.6574
tr_img_06033,915.0,1280.5,438.0,186.0,"三保",0.8135
tr_img_06033,1562.5,1288.2,569.0,178.5,"清水港",0.9993
tr_img_06033,1865.0,1831.8,443.0,194.5,"船越",0.9998
tr_img_06035,807.5,1033.1,769.0,151.0,"新品王眼売し",0.6472
tr_img_06035,1354.1,1015.6,453.0,120.0,"7いまで",0.5302
tr_img_06038,1001.8,931.0,176.5,58.0,"コヨマ",0.7037
tr_img_06038,1308.9,940.8,319.0,65.5,"リつマップ",0.7088
tr_img_06038,1537.2,1219.2,2679.5,217.5,"単品オーデオをはしめよう",0.7806
tr_img_06038,1551.2,1449.8,1799.5,110.5,"自分好みに組み合わせて音の追求を愉しもう。",0.9739
tr_img_06036,1220.2,197.4,1029.5,150.5,"静鉄新清永駅",0.9283
tr_img_06036,1238.0,653.2,1117.0,141.5,"静岡市役所清水庁舎",0.9978
tr_img_06036,1212.0,1112.8,1113.0,172.5,"清水マリンパーク",0.9956
tr_img_06040,866.5,294.5,703.0,149.0,"清水郵便后",0.9077
tr_img_06040,1858.9,300.9,480.0,132.0,"清水駅西口",0.9963
tr_img_06040,1934.6,428.4,638.5,142.5,"自転車等駐車場",0.9724
tr_img_06040,995.5,522.8,232.0,94.5,"人口天",0.9789
tr_img_06040,663.8,529.2,296.5,88.5,"清水局",0.9998
tr_img_06040,1849.2,644.2,503.5,60.5,"清水站西口自行奉等存牢外",0.8593
tr_img_06040,1912.0,711.8,132.0,56.5,"善曾子",0.6093
tr_img_06040,808.5,877.2,935.0,136.5,"清水簡易裁判所",0.9991
tr_img_06040,587.9,1080.5,481.0,89.0,"清水簡易裁判所",0.9417
tr_img_06040,984.2,1083.5,215.5,82.0,"川口天",0.7329
tr_img_06040,1379.0,1080.5,219.0,82.0,"利証企",0.6703
tr_img_06040,686.2,1223.8,639.5,143.5,"清水税務署",0.9998
tr_img_06040,534.9,1412.8,330.5,87.5,"清水税局",0.9998
tr_img_06040,865.0,1422.2,216.0,78.5,"人口天",0.9739
tr_img_06040,1097.0,1422.2,203.0,78.5,"川早企",0.6976
tr_img_06040,1002.0,1554.6,845.0,123.5,"は一とぴあ清水",0.9948
tr_img_06040,2007.0,1688.5,166.0,86.0,"人口",0.9408
tr_img_06040,913.2,1738.9,668.5,96.0,"静市清水社会福祉会館",0.9462
tr_img_06040,1453.0,1734.1,402.0,93.5,"「Heartpia清水]",0.9316
tr_img_06040,921.5,1871.1,620.0,121.0,"観光案内所",0.9997
tr_img_06040,1715.5,1847.5,562.0,146.0,"バス案内所",0.9990
tr_img_06040,1838.0,2003.5,135.0,78.0,"出人",0.9543
tr_img_06040,783.0,2036.5,357.0,94.0,"光介昭所",0.8633
tr_img_06040,1591.5,2024.0,339.0,108.0,"巴士向蒟姚",0.7060
tr_img_06041,1070.2,788.0,316.5,93.0,"最大料金あり",0.9995
tr_img_06041,1047.6,934.0,267.5,128.0,"空重",0.7550
tr_img_06037,1105.0,880.5,1094.0,506.0,"滑りにくいく",0.7774
tr_img_06037,1067.9,1223.9,1244.0,579.0,"ター",0.5546
tr_img_06037,756.6,1803.2,475.5,284.5,"入荷",0.9602
tr_img_06037,927.9,2012.9,575.5,222.5,"してます",0.9843
tr_img_06042,1705.8,755.2,2489.5,459.5,"ドリりお通レ",0.7010
tr_img_06045,578.5,1100.5,458.0,147.0,"日本橋",0.9926
tr_img_06045,574.2,1259.9,467.5,145.5,"人形町",0.9917
tr_img_06045,563.4,1443.0,480.5,164.0,"一丁目",0.9451
tr_img_06047,1513.5,1417.5,1418.0,275.0,"松尾ジンギスカン",0.8277
tr_img_06047,1519.8,1630.0,508.5,111.0,"北海道名物",0.9189
tr_img_06047,1526.2,1828.2,374.5,99.5,"南1条店",0.9954
tr_img_06048,906.0,1305.2,315.0,83.5,"エキパ",0.8443
tr_img_06048,1382.1,1506.2,1337.5,92.5,"ショッピング街（パルシェ",0.9332
tr_img_06043,1076.8,521.8,66.5,94.5,"芝",0.9999
tr_img_06043,1082.2,627.2,194.5,83.5,"五丁目",0.9996
tr_img_06049,906.2,1913.8,350.5,97.5,"芝信用金庫",0.9997
tr_img_06044,1601.8,1047.0,954.5,110.0,"平岸1条1丁目",0.9410
tr_img_06046,1600.1,766.8,1855.5,247.5,"南T3条西18T目",0.8084
tr_img_06052,1192.0,381.2,406.0,113.5,"豊平区",0.9988
tr_img_06052,1179.1,1738.9,351.0,2422.5,"外車町8丁目2",0.7967
tr_img_06052,1380.2,1438.0,80.5,224.0,"ちよう",0.8096
tr_img_06054,1957.2,704.5,2813.5,747.0,"アルカイースト",0.9995
tr_img_06055,983.2,182.5,401.5,135.0,"八幡山",0.9980
tr_img_06055,580.2,459.0,624.5,77.0,"当駅構内施設の階層図",0.9993
tr_img_06055,1349.8,554.8,190.5,43.5,"男子トイレ",0.9876
tr_img_06055,418.8,557.2,117.5,38.5,"案内所",0.9999
tr_img_06055,945.2,561.0,263.5,36.0,"エスカレーター",0.9929
tr_img_06055,1352.2,638.8,191.5,49.5,"女子トイレ",0.9991
tr_img_06055,493.0,646.5,198.0,43.0,"つぶうりば",0.8735
tr_img_06055,854.0,645.2,81.0,40.5,"階段",1.0000
tr_img_06055,1395.2,724.2,282.5,56.5,"だれでもトイレ",0.9993
tr_img_06055,933.6,733.1,246.0,49.0,"コインロッカ",0.9825
tr_img_06055,469.5,819.8,224.0,43.5,"エレベータ-",0.8960
tr_img_06055,1109.6,816.0,373.5,57.0,"自動体外式除細動器",0.9924
tr_img_06055,726.2,927.0,404.5,49.0,"現在地から地上までの",0.9985
tr_img_06055,732.9,975.4,417.5,48.5,"バリアフリー主要ルート",0.9856
tr_img_06055,1397.8,1101.6,173.5,47.0,"京王八垂子",0.8517
tr_img_06055,1383.5,1146.2,143.0,43.5,"高尾山口",0.9994
tr_img_06055,1491.8,1141.0,83.5,38.0,"橋本",0.9886
tr_img_06055,1567.2,1142.2,57.5,30.5,"方面",0.9356
tr_img_06055,547.8,1161.5,104.5,28.0,"現在地",0.7171
tr_img_06055,344.2,1179.5,146.5,28.0,"ホ一ム階",0.9151
