Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06004,989.8,382.8,132.5,61.5,"清水日",0.6673
tr_img_06005,1530.8,365.5,2667.5,244.0,"北幌市中央区中島公園1-15",0.9049
tr_img_06001,885.8,265.2,362.5,126.5,"北給田",0.9977
tr_img_06001,725.0,343.0,120.0,48.0,"つきは",0.9012
tr_img_06001,867.2,346.8,140.5,63.5,"中給",0.9481
tr_img_06001,958.5,353.2,60.0,43.5,"田",0.9822
tr_img_06001,979.2,527.8,54.5,61.5,"荻",0.9974
tr_img_06001,1088.8,533.0,49.5,46.0,"行",0.9999
tr_img_06001,1091.5,605.8,44.0,53.5,"先",0.8827
tr_img_06003,1502.5,860.2,1545.0,175.5,"南13条西16丁目",0.9252
tr_img_06007,3145.8,214.8,470.5,137.5,"おさし",0.7471
tr_img_06007,2058.0,1486.2,3881.0,1305.5,"アイス",0.9976
tr_img_06009,1080.5,434.2,307.0,140.5,"日本橋",0.9996
tr_img_06009,1072.5,563.2,311.0,136.5,"人形町",0.9988
tr_img_06009,1075.2,703.5,310.5,133.0,"一丁目",0.9949
tr_img_06012,1379.8,515.5,1950.5,274.0,"北10条東11丁目",0.9634
tr_img_06013,1079.5,305.2,274.0,65.5,"ザシティベルシテイ",0.8866
tr_img_06013,1072.0,345.2,122.0,44.5,"元住吉店",0.9981
tr_img_06013,1077.5,502.5,332.0,147.0,"駐輪場",0.9994
tr_img_06013,932.5,704.8,89.0,33.5,"ご利用",0.9998
tr_img_06002,1505.8,2249.0,1433.5,318.0,"カツ井とんかつ",0.9716
tr_img_06002,1477.5,3080.5,1276.0,412.0,"営業中",0.9584
tr_img_06010,673.0,298.2,491.0,158.5,"日本橋",0.9980
tr_img_06010,668.8,478.5,511.5,165.0,"人形町",0.9976
tr_img_06010,671.8,678.5,528.5,165.0,"一丁目",0.9924
tr_img_06015,1685.2,840.0,2228.5,301.0,"吉川内科・循環器科クリニツク",0.9258
tr_img_06011,1482.5,927.8,2965.0,665.5,"暖房能力Nの",0.8088
tr_img_06011,677.2,1333.8,1305.5,97.5,"国内家庭用エアコン6 3kW・71kＷクラスにおいて",0.9235
tr_img_06011,1836.5,1361.2,977.0,74.5,"茶JIS低温時定格暖房能力MSZ-ZD63",0.9046
tr_img_06011,861.5,1406.2,230.0,54.5,"2015年",1.0000
tr_img_06011,1170.2,1412.5,388.5,62.0,"11月25日現在",0.9999
tr_img_06011,746.5,1730.0,593.0,98.0,"寒冷地仕様",0.9915
tr_img_06011,2825.8,1692.8,94.5,22.5,"グイ",0.7204
tr_img_06011,2843.5,1733.5,168.0,84.0,"ねえの",0.7138
tr_img_06011,1863.2,1994.0,490.5,150.0,"太バ順霧ヶ峰",0.7584
tr_img_06011,2816.8,2145.5,413.5,86.0,"テレビCM皮ゆ中!",0.7112
