Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06004,989.8,382.8,132.5,61.5,"清水日",0.7079
tr_img_06005,1529.2,365.5,2670.5,244.0,"北幌市中央区中島公園115",0.9075
tr_img_06001,886.8,266.5,359.5,124.0,"北給田",0.9920
tr_img_06001,867.2,346.8,140.5,63.5,"中給",0.9989
tr_img_06001,958.5,353.2,60.0,43.5,"田",0.9424
tr_img_06001,980.8,527.8,57.5,61.5,"荻",0.9911
tr_img_06001,1088.8,534.2,49.5,48.5,"行",0.9999
tr_img_06001,1091.5,607.0,44.0,56.0,"先",0.9752
tr_img_06003,1502.5,860.2,1545.0,175.5,"南13条西16丁目",0.9583
tr_img_06007,3141.5,214.8,462.0,137.5,"おさし",0.7045
tr_img_06007,2058.0,1486.2,3881.0,1305.5,"アイス",0.9972
tr_img_06010,671.8,298.2,488.5,158.5,"日本橋",0.9971
tr_img_06010,670.0,480.2,508.0,155.5,"人形町",0.9969
tr_img_06010,671.5,677.0,529.0,168.0,"一丁目",0.9821
tr_img_06012,1379.8,517.0,1950.5,278.0,"北10条東11丁目",0.9637
tr_img_06013,1079.5,305.2,274.0,65.5,"ザシティベルシテイ",0.9049
tr_img_06013,1072.0,345.2,122.0,44.5,"元住吉店",0.9975
tr_img_06013,1077.5,502.5,332.0,147.0,"駐輪場",0.9994
tr_img_06013,932.5,704.8,89.0,33.5,"ご利用",0.9998
tr_img_06002,1505.5,2249.2,1442.0,326.5,"カツ井とんかつ",0.9776
tr_img_06002,1477.5,3080.5,1276.0,412.0,"営業中",0.9643
tr_img_06009,1080.5,434.2,307.0,140.5,"日本橋",0.9997
tr_img_06009,1072.5,562.0,315.0,138.0,"人形町",0.9994
tr_img_06009,1075.2,703.5,310.5,133.0,"一丁目",0.9888
tr_img_06014,714.0,1129.8,843.0,260.5,"さ一ぼ3地下街",0.8542
tr_img_06014,1873.2,1626.0,188.5,76.0,"水野メ市ネ",0.8972
tr_img_06014,1883.8,1722.5,214.5,112.0,"補聴器",0.9914
tr_img_06014,2219.8,2220.8,121.5,42.5,"定補藤器専門)",0.7787
tr_img_06014,2219.8,2259.2,88.5,34.5,"(稲社法指定店)",0.9169
tr_img_06011,1482.8,926.2,2965.5,669.5,"暖房能カNO",0.7705
tr_img_06011,677.2,1333.8,1305.5,97.5,"国内家庭用エアコン6 3kW・71kＷクラスにおいて",0.9244
tr_img_06011,1834.8,1361.0,980.5,75.0,"来JIS低温時定格暖房能力MSZ-ZD63",0.9137
tr_img_06011,861.5,1406.2,230.0,54.5,"2015年",1.0000
tr_img_06011,1170.2,1412.5,388.5,62.0,"11月25日現在",0.9999
tr_img_06011,746.5,1730.0,593.0,98.0,"寒冷地仕様",0.9923
