Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06043,1076.8,521.8,66.5,94.5,"芝",0.9999
tr_img_06043,1082.2,630.0,199.5,83.0,"五丁目",0.9987
tr_img_06062,863.2,1031.5,151.5,1054.0,"奈西四川",0.5217
tr_img_06005,1530.8,365.5,2667.5,244.0,"北幌市中央区中島公園1-15",0.9049
tr_img_06070,1504.0,574.5,61.0,139.0,"ロ口",0.7092
tr_img_06070,1495.8,861.5,106.5,520.0,"去板",0.5891
tr_img_06042,1715.2,762.0,2492.5,494.0,"ドりクお通レ",0.7913
tr_img_06007,3145.8,214.8,470.5,137.5,"おさし",0.7471
tr_img_06007,2058.0,1486.2,3881.0,1305.5,"アイス",0.9976
tr_img_06025,1610.0,655.2,1187.0,1016.5,"薬",0.9400
tr_img_06025,1602.2,2421.2,147.5,879.5,"お目げいたします",0.5961
tr_img_06016,738.0,1068.2,497.0,158.5,"日本橋",0.9417
tr_img_06016,738.0,1229.2,495.0,145.5,"人光町",0.6801
tr_img_06054,1959.2,704.5,2810.5,756.0,"アルカイースト",0.9994
tr_img_06027,1457.0,120.8,185.0,71.5,"中原区",0.9999
