Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06001,885.8,265.2,362.5,126.5,"北給田",0.9977
tr_img_06001,725.0,343.0,120.0,48.0,"つきは",0.9012
tr_img_06001,867.2,346.8,140.5,63.5,"中給",0.9481
tr_img_06001,958.5,353.2,60.0,43.5,"田",0.9822
tr_img_06001,979.2,527.8,54.5,61.5,"荻",0.9974
tr_img_06001,1088.8,533.0,49.5,46.0,"行",0.9999
tr_img_06001,1091.5,605.8,44.0,53.5,"先",0.8827
tr_img_06005,1530.8,365.5,2667.5,244.0,"北幌市中央区中島公園1-15",0.9049
tr_img_06004,989.8,382.8,132.5,61.5,"清水日",0.6673
tr_img_06003,1502.5,860.2,1545.0,175.5,"南13条西16丁目",0.9252
tr_img_06007,3145.8,214.8,470.5,137.5,"おさし",0.7471
tr_img_06007,2058.0,1486.2,3881.0,1305.5,"アイス",0.9976
tr_img_06009,1080.5,434.2,307.0,140.5,"日本橋",0.9996
tr_img_06009,1072.5,563.2,311.0,136.5,"人形町",0.9988
tr_img_06009,1075.2,703.5,310.5,133.0,"一丁目",0.9949
tr_img_06010,673.0,298.2,491.0,158.5,"日本橋",0.9980
tr_img_06010,668.8,478.5,511.5,165.0,"人形町",0.9976
tr_img_06010,671.8,678.5,528.5,165.0,"一丁目",0.9924
tr_img_06012,1379.8,515.5,1950.5,274.0,"北10条東11丁目",0.9634
tr_img_06002,1505.8,2249.0,1433.5,318.0,"カツ井とんかつ",0.9716
tr_img_06002,1477.5,3080.5,1276.0,412.0,"営業中",0.9584
tr_img_06013,1079.5,305.2,274.0,65.5,"ザシティベルシテイ",0.8866
tr_img_06013,1072.0,345.2,122.0,44.5,"元住吉店",0.9981
tr_img_06013,1077.5,502.5,332.0,147.0,"駐輪場",0.9994
tr_img_06013,932.5,704.8,89.0,33.5,"ご利用",0.9998
tr_img_06014,714.0,1129.8,843.0,260.5,"さ一ま3地下街",0.7892
tr_img_06014,1873.2,1626.0,188.5,76.0,"水野メ市ネ",0.9097
tr_img_06014,1881.5,1720.2,213.0,110.5,"補聴器",0.9997
tr_img_06014,2219.8,2220.8,121.5,42.5,"定補藤器専門)",0.7627
tr_img_06014,2219.8,2259.2,88.5,34.5,"(稲社法指定店)",0.9251
tr_img_06015,1685.2,840.0,2228.5,301.0,"吉川内科・循環器科クリニツク",0.9258
tr_img_06011,1482.5,927.8,2965.0,665.5,"暖房能力Nの",0.8088
tr_img_06011,677.2,1333.8,1305.5,97.5,"国内家庭用エアコン6 3kW・71kＷクラスにおいて",0.9235
tr_img_06011,1836.5,1361.2,977.0,74.5,"茶JIS低温時定格暖房能力MSZ-ZD63",0.9046
tr_img_06011,861.5,1406.2,230.0,54.5,"2015年",1.0000
tr_img_06011,1170.2,1412.5,388.5,62.0,"11月25日現在",0.9999
tr_img_06011,746.5,1730.0,593.0,98.0,"寒冷地仕様",0.9915
tr_img_06011,2825.8,1692.8,94.5,22.5,"グイ",0.7204
tr_img_06011,2843.5,1733.5,168.0,84.0,"ねえの",0.7138
tr_img_06011,1863.2,1994.0,490.5,150.0,"太バ順霧ヶ峰",0.7584
tr_img_06011,2816.8,2145.5,413.5,86.0,"テレビCM皮ゆ中!",0.7112
tr_img_06016,738.0,1068.2,497.0,158.5,"日本橋",0.9417
tr_img_06016,738.0,1229.2,495.0,145.5,"人光町",0.6801
tr_img_06019,697.5,201.5,209.0,208.0,"歳",0.9994
tr_img_06019,697.2,334.0,196.5,82.0,"からの",0.9995
tr_img_06019,1152.5,734.0,1062.0,558.0,"黒氏",0.6614
tr_img_06019,1134.0,1510.5,672.0,169.0,"まぐろとかつ",0.9788
tr_img_06019,286.5,2013.0,141.0,94.0,"タウリン",0.9776
tr_img_06019,293.0,2117.0,166.0,111.0,"ビタミンバ",0.8127
tr_img_06019,331.8,2335.8,167.5,135.5,"禁合",0.6864
tr_img_06019,339.0,2435.2,230.0,151.5,"栄養食",0.9403
tr_img_06019,1939.5,2376.8,180.0,85.5,"盛り付け",0.7693
tr_img_06019,378.5,2677.5,324.0,150.0,"15歳から0",0.9248
tr_img_06019,423.8,2959.2,411.5,128.5,"皮崗被毛の優康に配良",0.6606
tr_img_06021,1234.5,177.2,168.0,61.5,"青水区",0.8557
tr_img_06021,1229.8,643.8,126.5,816.5,"中之郷一一丁目",0.6523
tr_img_06022,1473.5,962.8,1045.0,134.5,"空気単口消火検",0.7525
tr_img_06018,1126.0,266.0,313.0,136.0,"豊平区",0.9998
tr_img_06018,1193.8,1142.0,294.5,1510.0,"中の島1条3丁目1",0.7921
tr_img_06020,1673.5,455.0,877.0,144.0,"水天宮前駅",0.9983
tr_img_06020,781.2,462.0,663.5,136.0,"半蔵門線",0.9995
tr_img_06020,1579.0,1100.2,678.0,109.5,"山目宮天元",0.5817
tr_img_06024,1565.8,1093.0,1305.5,519.0,"万世町",0.9998
tr_img_06026,1020.2,349.8,756.5,232.5,"休診中",0.9990
tr_img_06026,885.2,693.8,335.5,74.5,"初診・急患",0.9947
tr_img_06026,1190.5,692.0,242.0,59.0,"随時受付",1.0000
tr_img_06026,1079.2,940.8,576.5,73.5,"オぶ通い歯科医院",0.7155
tr_img_06027,1457.0,120.8,185.0,71.5,"中原区",0.9999
tr_img_06023,1501.2,828.5,780.5,158.0,"静岡市役所",0.9989
tr_img_06023,1820.2,1075.8,428.5,106.5,"人天金引人",0.6573
tr_img_06023,1319.2,1069.5,397.5,86.0,"静図市役所",0.9295
tr_img_06023,1435.2,1268.0,621.5,142.0,"葵区役所",0.9999
tr_img_06023,99.8,1379.5,114.5,118.0,"館",1.0000
tr_img_06023,1279.0,1512.0,322.0,88.0,"葵区役所",1.0000
tr_img_06023,1689.5,1510.5,364.0,79.0,"OI30I子",0.6026
tr_img_06023,1358.0,1718.5,480.0,148.0,"紺屋町",0.9980
tr_img_06023,70.8,1783.0,96.5,82.0,"階",1.0000
tr_img_06023,1238.8,1956.2,262.5,102.5,"紺屋町",0.8993
tr_img_06023,1366.0,2214.5,485.0,165.0,"呉服町",0.9931
tr_img_06023,1248.5,2461.8,271.0,120.5,"臭服町",0.8480
tr_img_06023,1359.5,2687.0,485.0,165.0,"七間町",0.9998
tr_img_06023,1261.2,2939.0,269.5,109.0,"七面町",0.8027
tr_img_06023,1633.2,2935.8,345.5,123.5,"人入型禿",0.5311
tr_img_06029,1557.8,1499.2,253.5,1071.5,"車かまた",0.5273
tr_img_06029,876.2,1464.8,725.5,281.5,"出庫注意",0.9656
tr_img_06030,913.8,707.5,238.5,81.0,"五反田",0.9952
tr_img_06030,925.0,864.0,249.0,82.0,"丸子橋",0.9996
tr_img_06030,493.0,1140.5,81.0,29.0,"クランイーグ川",0.6065
tr_img_06030,494.0,1169.2,60.0,26.5,"元住吉",0.8512
tr_img_06032,925.8,243.2,1294.5,405.5,"やきとり家",0.9952
tr_img_06032,842.0,581.8,1387.0,555.5,"すみれ",0.9993
tr_img_06025,1610.0,655.2,1187.0,1016.5,"薬",0.9400
tr_img_06025,1602.2,2421.2,147.5,879.5,"お目げいたします",0.5961
tr_img_06033,912.0,1278.8,444.0,195.5,"三保",0.9976
tr_img_06033,1563.8,1288.5,566.5,179.0,"清水港",0.9990
tr_img_06033,1867.8,1832.0,438.5,202.0,"船越",0.9967
tr_img_06035,733.5,526.5,714.0,133.0,"三本京大車吉",0.5743
tr_img_06035,1005.5,1026.8,1165.0,160.5,"新品主販売しています",0.6920
tr_img_06028,1411.2,1615.2,907.5,343.5,"ザ・カ",0.8559
