Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06001,886.8,266.5,359.5,124.0,"北給田",0.9917
tr_img_06001,726.2,343.0,122.5,48.0,"つきは",0.9440
tr_img_06001,867.2,346.8,140.5,63.5,"中給",0.9345
tr_img_06001,957.0,351.0,65.0,50.0,"田",0.9266
tr_img_06001,980.8,527.8,57.5,61.5,"荻",0.9937
tr_img_06001,1088.8,533.0,49.5,46.0,"行",0.9999
tr_img_06001,1091.5,608.2,44.0,53.5,"先",0.7228
tr_img_06002,1505.6,2249.2,1442.0,326.5,"カツ井とんかつ",0.9778
tr_img_06002,1477.5,3080.5,1276.0,412.0,"営業中",0.9720
tr_img_06003,1502.6,860.2,1545.0,175.5,"南13条西16丁目",0.9319
tr_img_06004,989.8,382.8,132.5,61.5,"清水区",0.7056
tr_img_06005,1529.2,365.5,2670.5,244.0,"北幌市中央区中島公園1・15",0.8255
tr_img_06007,3141.5,214.8,462.0,137.5,"おさし",0.7051
tr_img_06007,2053.8,1486.2,3889.5,1305.5,"アイス",0.9959
tr_img_06009,1080.6,434.2,307.0,140.5,"日本橋",0.9997
tr_img_06009,1072.5,562.0,315.0,138.0,"人形町",0.9990
tr_img_06009,1075.4,703.5,310.5,133.0,"一丁目",0.9924
tr_img_06010,673.0,298.2,486.0,158.5,"日本橋",0.9942
tr_img_06010,670.2,481.5,496.5,147.0,"人形町",0.9784
tr_img_06010,670.1,677.0,526.5,168.0,"一丁目",0.9761
tr_img_06011,1483.8,926.2,2963.5,669.5,"暖房能力NO",0.8565
tr_img_06011,677.2,1333.8,1305.5,97.5,"国内家庭用エアコン6 3kW・7 1kＷクラスにおいて",0.8978
tr_img_06011,1834.8,1361.2,980.5,74.5,"来JIS低温時定格暖房能力MS乙-ZD63",0.9203
tr_img_06011,861.5,1406.2,230.0,54.5,"2015年",1.0000
tr_img_06011,1172.0,1412.6,385.0,62.0,"11月25日現在",0.9997
tr_img_06011,746.5,1730.0,593.0,98.0,"寒冷地仕様",0.9932
tr_img_06011,2827.2,1692.8,97.5,22.5,"ジイ",0.6690
tr_img_06011,1863.2,1994.2,490.5,156.5,"太川順霧ヶ峰",0.6856
tr_img_06011,2817.1,2145.5,413.5,86.0,"テレビCM蔵ゆ中!",0.7044
tr_img_06012,1379.8,517.1,1950.5,278.0,"北10条東11丁目",0.9590
tr_img_06013,1079.5,305.2,274.0,65.5,"ザシティベルシテイ",0.9204
tr_img_06013,1072.0,345.1,122.0,44.5,"元住吉店",0.9946
tr_img_06013,1077.6,502.4,332.0,147.0,"駐輪場",0.9993
tr_img_06013,932.5,705.8,89.0,35.5,"ご利用",0.9940
tr_img_06014,714.0,1129.6,843.0,260.5,"さ一まろ地下街",0.7972
tr_img_06014,1873.1,1626.0,188.5,76.0,"水野メ市ネ",0.8926
tr_img_06014,1881.6,1720.2,213.0,110.5,"補聴器",0.9997
tr_img_06014,2219.8,2220.8,121.5,42.5,"定補藤器専門)",0.7763
tr_img_06014,2219.8,2259.2,88.5,34.5,"(稲社法指定店)",0.9059
tr_img_06015,1034.0,817.6,926.0,249.0,"吉川内科・",0.9202
tr_img_06015,2085.0,852.9,1414.0,237.0,"循環器科クリ二ツク",0.8109
tr_img_06016,738.2,1068.2,496.5,152.5,"司本橋",0.7239
tr_img_06016,739.5,1227.9,505.0,160.5,"入形町",0.6070
tr_img_06018,1126.0,266.1,313.0,136.0,"豊平区",0.9998
tr_img_06018,1193.6,1141.9,294.5,1510.0,"中の島1条3丁目1",0.8011
tr_img_06019,697.5,200.0,209.0,211.0,"歳",0.9996
tr_img_06019,697.2,334.0,196.5,82.0,"からの",0.9990
tr_img_06019,1152.4,734.0,1062.0,558.0,"黒氏",0.6712
tr_img_06019,1132.2,1508.9,669.5,172.5,"まぐろとかつ",0.9318
tr_img_06019,286.6,2012.9,141.0,94.0,"タウリン",0.9846
tr_img_06019,293.1,2118.2,165.0,108.5,"ビタミンド",0.7522
tr_img_06019,332.0,2336.8,167.0,136.5,"禁合",0.6317
