Image,Total_Boxes,Avg_Conf,Japanese_Texts
tr_img_06001,7,0.9084,"北給田 (0.990) | 中給 (0.933) | 田 (0.950) | 荻 (0.998) | 行 (1.000) | 先 (0.898) | 県 (0.591)"
tr_img_06002,3,0.9360,"や (0.849) | カツ井とんかつ (0.983) | 営業中 (0.977)"
tr_img_06003,2,0.9632,"南13条西16丁目 (0.934)"
tr_img_06004,1,0.7030,"清水日 (0.703)"
tr_img_06005,1,0.8918,"北幌市中央区中島公園115 (0.892)"
tr_img_06006,2,0.9393,""
tr_img_06007,3,0.9009,"おさし (0.716) | アイス (0.997)"
tr_img_06008,1,0.5517,""
tr_img_06009,4,0.9877,"日本橋 (1.000) | 人形町 (0.999) | 一丁目 (0.991)"
tr_img_06010,4,0.9830,"日本橋 (0.997) | 人形町 (0.998) | 一丁目 (0.990)"
tr_img_06011,13,0.8662,"暖房能力Nの (0.779) | 国内家庭用エアコン6,3kW・71kＷクラスにおいて (0.923) | 茶ＪIS低温時定格暖房能力MSZ-ZD63 (0.899) | 2015年 (1.000) | 11月25日現在 (1.000) | 寒冷地仕様 (0.993) | ニジイ (0.523) | 太バ順霧ヶ峰 (0.789) | テレビCM炭央中! (0.714)"
tr_img_06012,2,0.9477,"北10条東11丁目 (0.968)"
tr_img_06013,6,0.9847,"ザシティベルシテイ (0.916) | 元住吉店 (0.998) | 駐輪場 (0.999) | ご利用 (1.000)"
tr_img_06014,8,0.8620,"さ一ぼ3地下街 (0.839) | 水野メ市ネ (0.905) | 補聴器 (1.000) | 定補藤器専門) (0.755) | (稲社法指定店) (0.915)"
tr_img_06015,2,0.8756,"吉川内科・ (0.957) | 信環器科クリ二ツク (0.794)"
tr_img_06016,3,0.8102,"日本橋 (0.754) | 入飛形町 (0.796)"
tr_img_06017,0,0.0000,""
tr_img_06018,4,0.9330,"豊平区 (1.000) | 中の島1条3丁目1 (0.811)"
tr_img_06019,16,0.8933,"歳 (0.995) | からの (0.999) | 黒王 (0.673) | まぐろとかつ (0.962) | タウリン (0.988) | ビタミン (0.961) | 禁合 (0.699) | 栄養食 (0.990) | 盛り付 (0.888) | 15歳から0 (0.912) | 皮商被毛の優康に配息) (0.663)"
tr_img_06020,16,0.8446,"水天宮前駅 (0.999) | 半蔵門線 (0.999) | 門園半 (0.504) | 山目宮天元 (0.553)"
tr_img_06021,5,0.8772,"清水区 (0.746) | 中之郷一一丁目 (0.705)"
tr_img_06022,1,0.7181,"空気単口消火検 (0.718)"
tr_img_06023,26,0.9108,"静岡市役所 (0.999) | 人天金引人 (0.677) | 静図市役所 (0.917) | 葵区役所 (1.000) | 館 (1.000) | 葵区役所 (1.000) | OI30I子 (0.579) | 紺屋町 (0.998) | 階 (1.000) | 紺屋町 (0.908) | TOトロト夫! (0.524) | 呉服町 (0.973) | 臭服町 (0.835) | 七間町 (1.000) | 七間町 (0.853) | 人入型禿 (0.562)"
tr_img_06024,2,0.9865,"万世町 (1.000)"
tr_img_06025,4,0.7386,"薬 (0.761) | お目げいたします (0.617)"
tr_img_06026,9,0.8179,"休診中 (1.000) | 初診・急患 (0.993) | 随時受付 (1.000) | オぶ通リ歯科医院 (0.767)"
tr_img_06027,4,0.9228,"中原区 (1.000)"
tr_img_06028,3,0.9862,"ザ・カ (0.963)"
tr_img_06029,1,0.9640,"出庫注意 (0.964)"
tr_img_06030,8,0.9219,"五反田 (0.996) | 丸子橋 (0.999) | 元住吉 (0.676)"
tr_img_06031,2,0.9406,"中の島1条3丁目 (0.884)"
