Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06001,887.0,266.2,364.0,124.0,"北給田",0.9979
tr_img_06001,725.0,343.0,114.0,48.0,"つぎは",0.9389
tr_img_06001,834.5,345.5,57.0,43.0,"中",0.9822
tr_img_06001,893.0,349.5,76.0,51.0,"給",0.9997
tr_img_06001,962.0,353.5,52.0,43.0,"田",0.9925
tr_img_06001,976.5,458.0,65.0,38.0,"教58",0.6712
tr_img_06001,978.0,529.5,58.0,69.0,"荻",0.9533
tr_img_06001,1089.0,532.5,50.0,51.0,"行",0.9999
tr_img_06001,1091.5,607.0,45.0,56.0,"先",0.9977
tr_img_06001,982.0,640.0,54.0,72.0,"窪",0.9860
tr_img_06001,988.5,761.0,73.0,54.0,"駅",0.9991
tr_img_06001,765.5,1075.0,101.0,18.0,"1日市道盛所西",0.5543
tr_img_06005,1529.5,366.0,2671.0,244.0,"北幌市中央区中島公園1-15",0.9139
tr_img_06004,988.5,382.5,139.0,61.0,"清水区",0.8860
tr_img_06004,998.5,1345.5,177.0,69.0,"お0",0.5017
tr_img_06003,1502.5,860.2,1545.0,175.0,"南13条西16目",0.9331
tr_img_06007,3679.2,208.2,531.0,161.0,"トやい",0.5340
tr_img_06007,3139.5,215.0,467.0,138.0,"おビし",0.7025
tr_img_06007,2047.5,1484.2,3865.0,1315.0,"アイス",0.9990
tr_img_06007,2896.0,2708.5,306.0,47.0,"尾を少し説す",0.6923
tr_img_06007,3127.0,2710.0,130.0,60.0,"後は",0.5770
tr_img_06010,673.0,299.5,496.0,167.0,"日本橋",0.9996
tr_img_06010,673.0,478.5,504.0,165.0,"人形町",0.9986
tr_img_06010,674.0,678.5,516.0,159.0,"一丁目",0.9692
tr_img_06011,1483.5,926.0,2961.0,648.0,"暖房能力NO",0.8162
tr_img_06011,390.5,1327.5,725.0,79.0,"国内家庭用エアコン6.3kW",0.9194
tr_img_06011,1024.0,1343.5,600.0,79.0,"・7 1kＷクラスにおいて",0.9231
tr_img_06011,1894.8,1361.2,1094.0,88.0,"*JIS低温時定格暖房能力MSZ-ZD6316S",0.9286
tr_img_06011,863.0,1406.5,226.0,55.0,"2015年",1.0000
tr_img_06011,1167.0,1413.0,394.0,62.0,"11月25日現在",0.9999
tr_img_06011,2827.0,1691.0,104.0,32.0,"ニクイ0",0.7912
tr_img_06011,745.0,1732.0,596.0,94.0,"寒冷地仕様",0.9884
tr_img_06011,1863.5,1995.8,483.0,133.0,"太パ照霧ヶ山峰",0.7782
tr_img_06011,2818.5,2145.8,410.0,86.0,"テレビCM炭央中!",0.8080
tr_img_06009,1079.5,434.5,303.0,139.0,"日本橋",0.9999
tr_img_06009,1074.0,563.5,310.0,137.0,"人形町",0.9987
tr_img_06009,1121.0,700.5,206.0,119.0,"丁目",0.9989
tr_img_06002,1737.5,1476.0,1109.0,926.0,"や",0.8775
tr_img_06002,1505.5,2247.0,1425.0,314.0,"カツ井とんかつ",0.9692
tr_img_06002,1477.5,3080.5,1267.0,403.0,"営業中",0.9930
tr_img_06013,1080.2,304.5,276.0,63.0,"ザシティベルシティ",0.9322
tr_img_06013,1071.2,344.0,128.0,50.0,"元住吉店",0.9999
tr_img_06013,1076.5,502.2,331.0,143.0,"駐輪場",1.0000
tr_img_06013,930.5,705.8,97.0,47.0,"ご利用",0.9998
tr_img_06013,931.5,743.5,61.0,37.0,"可能",0.9533
tr_img_06013,931.5,780.5,61.0,37.0,"時間",0.9997
tr_img_06014,2987.8,836.2,1043.0,701.0,"メカ永",0.7091
tr_img_06014,712.2,1127.5,839.0,265.0,"さ一ぼろ地下街",0.9044
tr_img_06014,1873.0,1625.8,170.0,58.0,"水野メ市ネ",0.8707
tr_img_06014,1881.5,1716.0,215.0,112.0,"補聴器",0.9993
tr_img_06014,2219.5,2180.0,105.0,30.0,"起祖夏技優者がい",0.5420
tr_img_06014,2224.0,2219.0,130.0,30.0,"定補覧器専門店",0.9192
tr_img_06014,2220.0,2259.5,88.0,35.0,"(福社法指定店",0.9749
tr_img_06012,1378.2,515.5,1954.0,281.0,"北10条東11丁目",0.9884
tr_img_06016,736.8,1065.8,499.0,152.0,"日本橋",0.7825
tr_img_06016,738.2,1226.5,502.0,153.0,"入形町",0.8150
tr_img_06016,835.0,1417.0,294.0,136.0,"」ほ",0.5711
tr_img_06018,1125.8,267.8,310.0,132.0,"豊平区",0.9986
tr_img_06018,1193.5,1138.5,307.0,1517.0,"中の目1条3丁目1",0.8471
tr_img_06019,697.5,200.0,209.0,204.0,"歳",0.9993
tr_img_06019,694.2,334.0,205.0,90.0,"からの",0.9977
tr_img_06019,1156.5,734.0,1051.0,548.0,"黒王",0.7239
tr_img_06019,1934.5,1176.5,137.0,211.0,"は",0.8784
tr_img_06019,1234.0,1509.0,870.0,158.0,"まぐろとかつおい",0.8629
tr_img_06019,285.0,2014.5,158.0,123.0,"タウリン",0.7480
tr_img_06019,293.2,2118.5,169.0,123.0,"ビタミンド",0.8115
tr_img_06019,332.0,2335.8,168.0,135.0,"恋合",0.5686
tr_img_06019,339.8,2433.5,228.0,147.0,"栄養食",0.9992
tr_img_06019,1939.2,2376.5,179.0,85.0,"盛り付け円",0.8275
tr_img_06019,376.5,2676.0,335.0,166.0,"15歳から0",0.9059
tr_img_06019,454.5,2963.0,479.0,128.0,"皮声被毛の優康に配最して",0.7721
tr_img_06021,1233.5,173.5,175.0,69.0,"清水区",0.9989
tr_img_06021,1229.5,642.5,121.0,819.0,"中之郷一一丁目",0.6970
tr_img_06022,1475.0,964.2,1054.0,143.0,"空気単口消火検",0.8636
tr_img_06020,778.5,463.2,669.0,151.0,"半蔵門線",0.9999
tr_img_06020,1670.5,458.0,883.0,150.0,"水天宮前駅",0.9989
tr_img_06020,1486.0,1099.0,504.0,106.0,"宮天元",0.5808
tr_img_06020,2014.5,1113.0,215.0,148.0,"留",0.5169
tr_img_06020,1831.5,1103.5,155.0,75.0,"白山",0.7688
tr_img_06026,1018.0,350.5,756.0,239.0,"休診中",0.9998
tr_img_06026,885.5,695.0,335.0,76.0,"初診・急患",0.9918
tr_img_06026,1191.5,692.0,241.0,60.0,"随時受付",1.0000
tr_img_06026,1077.5,940.8,577.0,73.0,"オ及通リ歯科医院",0.8001
tr_img_06023,1501.2,826.8,781.0,162.0,"静岡市役所",0.9994
tr_img_06023,1818.5,1077.2,425.0,110.0,"人天王引人",0.6823
tr_img_06023,1320.5,1072.5,393.0,79.0,"静図市役所",0.8821
tr_img_06023,1435.0,1269.5,628.0,145.0,"葵区役所",0.9999
tr_img_06023,99.5,1380.0,107.0,116.0,"館",1.0000
tr_img_06023,1279.0,1512.0,322.0,88.0,"葵区役所",1.0000
tr_img_06023,1690.0,1510.5,364.0,79.0,"OI30I子",0.5569
tr_img_06023,1358.0,1716.5,486.0,157.0,"紺屋町",0.9999
tr_img_06023,68.0,1783.0,90.0,82.0,"階",1.0000
tr_img_06023,1240.0,1958.0,264.0,104.0,"紺屋町",0.9063
tr_img_06023,1366.0,2214.5,484.0,165.0,"呉服町",0.9840
tr_img_06023,1250.0,2458.8,272.0,112.0,"臭服町",0.8410
tr_img_06023,1359.8,2688.5,492.0,169.0,"七間町",0.9997
tr_img_06023,1259.8,2938.8,266.0,109.0,"七向町",0.8777
tr_img_06023,1636.8,2937.5,345.0,121.0,"人却禿",0.5518
tr_img_06027,1458.2,120.5,188.0,71.0,"中原区",0.9999
tr_img_06028,1804.0,1638.5,1726.0,417.0,"ザ・カブ",0.8391
tr_img_06024,1564.0,1093.2,1304.0,520.0,"万世町",0.9999
tr_img_06030,914.8,707.5,236.0,81.0,"五反田",0.9980
tr_img_06030,926.0,866.0,246.0,78.0,"丸子橋",0.9999
tr_img_06030,492.2,1141.5,87.0,35.0,"グランイーグル",0.8047
tr_img_06030,494.5,1169.0,65.0,26.0,"元住詰",0.8604
tr_img_06031,1476.0,1176.0,1782.0,228.0,"中の島1条3丁目",0.9157
tr_img_06025,1600.0,665.0,1176.0,976.0,"薬",0.6830
tr_img_06025,1604.2,2417.0,152.0,888.0,"お目げいたしまま",0.7703
tr_img_06025,1753.0,2734.0,146.0,706.0,"処方士んでち",0.6900
tr_img_06032,927.0,242.0,1292.0,404.0,"やきとり家",0.9930
tr_img_06032,842.0,581.8,1386.0,555.0,"すみれ",0.9996
tr_img_06032,1608.5,662.0,137.0,172.0,"笑",0.9997
tr_img_06029,877.8,1464.8,729.0,282.0,"出庫注意",0.9983
tr_img_06035,1006.5,1028.0,1171.0,166.0,"新司主販売し子います",0.7674
tr_img_06036,1220.2,197.2,1030.0,151.0,"静鉄新清水駅",0.9297
tr_img_06036,1238.0,653.2,1116.0,141.0,"静岡市役所清水庁舎",0.9939
tr_img_06036,1212.0,1113.0,1112.0,172.0,"清水マリンパーク",0.9953
tr_img_06039,1271.0,1164.8,552.0,82.0,"南14条西9丁目",0.9993
tr_img_06033,915.0,1280.5,438.0,185.0,"三保",0.9927
tr_img_06033,1562.5,1288.5,569.0,179.0,"清水港",0.9991
tr_img_06033,1864.8,1832.0,443.0,194.0,"船越",0.9997
tr_img_06037,1103.2,881.8,1091.0,516.0,"滑りにくい",0.8644
tr_img_06037,756.5,1801.8,475.0,281.0,"入荷",0.8879
tr_img_06041,1070.2,788.0,317.0,96.0,"最大料金あり",0.9995
tr_img_06041,1047.5,934.0,267.0,128.0,"空重",0.8009
tr_img_06038,1822.2,1509.8,540.0,185.0,"ゴのつロ水を",0.5775
tr_img_06040,866.8,294.5,703.0,149.0,"清水郵便局",0.9357
tr_img_06040,1859.0,301.0,480.0,132.0,"清水駅西口",0.9981
tr_img_06040,1934.8,428.0,639.0,142.0,"自転車等駐車場",0.9774
tr_img_06040,663.5,529.0,297.0,88.0,"清水局",0.9999
tr_img_06040,995.0,523.0,232.0,94.0,"人口天",0.9601
tr_img_06040,1849.2,644.2,503.0,60.0,"清水站西口自行奉等存姚",0.8960
tr_img_06040,1912.0,712.0,132.0,56.0,"善曾子",0.7278
tr_img_06040,2179.0,715.0,100.0,50.0,"千オ",0.5789
tr_img_06040,808.5,877.0,935.0,136.0,"清水簡易裁判所",0.9993
tr_img_06040,588.0,1080.5,482.0,89.0,"清水簡易裁判所",0.9212
tr_img_06040,984.0,1084.0,216.0,82.0,"人口天",0.8578
tr_img_06040,1378.5,1080.5,219.0,81.0,"利斗企",0.7444
tr_img_06040,684.5,1223.8,643.0,144.0,"清水税務署",0.9998
tr_img_06040,534.8,1412.8,331.0,87.0,"清水税局",0.9999
tr_img_06040,865.0,1422.5,216.0,79.0,"人口天",0.9791
tr_img_06040,1096.5,1422.5,203.0,79.0,"川早企",0.8315
tr_img_06040,1002.0,1554.5,844.0,123.0,"は一とぴあ清水",0.9667
tr_img_06040,2007.0,1688.5,166.0,87.0,"人口",0.9681
tr_img_06040,913.5,1738.8,669.0,96.0,"静市清水社会福祉会館",0.9299
tr_img_06040,1453.0,1734.0,402.0,94.0,"「Heartpia清永水]",0.9268
tr_img_06040,921.0,1871.2,620.0,121.0,"観光案内所",0.9997
tr_img_06040,1715.5,1847.2,563.0,147.0,"バス案内所",0.9923
tr_img_06040,1837.5,2003.2,135.0,79.0,"出人",0.8834
tr_img_06040,783.0,2036.5,350.0,81.0,"光介招所",0.8340
tr_img_06040,1589.8,2025.5,335.0,97.0,"巴士珣巫",0.6496
tr_img_06042,1707.2,755.0,2493.0,460.0,"ドリクよ酒レ",0.6681
tr_img_06043,1076.5,522.0,67.0,94.0,"芝",1.0000
tr_img_06043,1082.0,627.5,194.0,83.0,"五丁目",0.9995
tr_img_06044,1602.0,1047.0,954.0,110.0,"平岸1条1丁目",0.9415
tr_img_06045,579.0,1100.5,458.0,147.0,"日本橋",0.9980
tr_img_06045,574.5,1261.5,467.0,143.0,"人形町",0.9776
tr_img_06045,564.8,1443.0,478.0,164.0,"一丁目",0.9457
tr_img_06046,1600.5,766.8,1855.0,248.0,"南T3条西18丁目",0.7867
tr_img_06048,906.0,1305.2,316.0,84.0,"エキパ",0.8371
tr_img_06048,1382.0,1506.0,1338.0,92.0,"ショッピング街（パルシェ",0.9519
tr_img_06051,1313.0,948.5,110.0,205.0,"中央",0.7206
tr_img_06051,1258.0,1688.5,248.0,1191.0,"中島公目",0.5139
tr_img_06052,1192.0,381.0,406.0,114.0,"豊平区",0.9991
tr_img_06052,1180.8,1739.0,355.0,2422.0,"木車町8丁目2",0.8300
tr_img_06052,1380.5,1439.5,81.0,221.0,"ちよら",0.6993
tr_img_06049,906.2,1915.0,351.0,100.0,"芝信用金庫",0.9982
tr_img_06053,1243.5,1225.5,597.0,149.0,"一之橋北詰",0.9998
tr_img_06047,1514.0,1417.5,1418.0,267.0,"松尾ジンギスカン",0.8419
tr_img_06047,1518.5,1630.5,511.0,111.0,"北海道名物",0.9819
tr_img_06047,1526.5,1828.0,375.0,100.0,"南1条店",0.9961
tr_img_06054,1957.0,702.5,2814.0,751.0,"アルカイースト",0.9996
tr_img_06056,976.5,1417.5,1407.0,185.0,"南14条西16丁目",0.9424
tr_img_06055,983.0,182.5,402.0,135.0,"八幡山",0.9984
tr_img_06055,580.2,459.0,624.0,78.0,"当駅構内施設の階層図",0.9998
tr_img_06055,418.5,558.5,117.0,35.0,"案内所",0.9998
tr_img_06055,1349.5,554.5,191.0,43.0,"男子トイレ",0.9944
tr_img_06055,945.5,561.0,263.0,36.0,"エスカレーター",0.9951
tr_img_06055,493.0,646.5,198.0,43.0,"つぶうりば",0.8623
tr_img_06055,854.5,645.5,81.0,41.0,"階段",1.0000
tr_img_06055,1353.5,641.5,187.0,43.0,"女子トイレ",0.9985
tr_img_06055,422.5,733.0,137.0,56.0,"待合室",0.9997
tr_img_06055,1347.0,727.0,174.0,46.0,"だれでも",0.9999
tr_img_06055,1473.5,724.0,119.0,46.0,"トイレ",0.9984
tr_img_06055,935.0,733.2,248.0,49.0,"コインロッカー",0.9567
tr_img_06055,472.0,822.5,224.0,43.0,"エレベータ-",0.8963
tr_img_06055,1109.8,816.0,373.0,56.0,"自動体外式除細動器",0.9956
tr_img_06055,725.0,926.8,408.0,49.0,"現在地から地上までの",0.9980
tr_img_06055,734.0,975.5,420.0,49.0,"バリアフリー主要ルート",0.9919
tr_img_06055,1399.0,1101.5,176.0,47.0,"京王八壬子",0.9464
tr_img_06055,1383.5,1146.5,143.0,43.0,"高尾山口",0.9787
