Image_Name,Center_X,Center_Y,Width,Height,Text,Score
tr_img_06001,887.0,266.5,364.7,124.0,"北給田",0.9966
tr_img_06001,725.0,343.0,115.3,48.7,"つぎは",0.9474
tr_img_06001,834.7,345.7,57.3,43.3,"中",0.9721
tr_img_06001,893.3,349.3,76.0,50.7,"給",0.9997
tr_img_06001,962.3,353.0,52.7,43.3,"田",0.9976
tr_img_06001,976.7,457.7,65.3,38.0,"教58",0.5219
tr_img_06001,978.0,530.3,57.3,66.0,"荻",0.9374
tr_img_06001,1088.7,533.0,49.3,51.3,"行",0.9999
tr_img_06001,1091.3,606.7,44.0,56.0,"先",0.9994
tr_img_06001,982.0,640.3,54.7,71.3,"窪",0.9947
tr_img_06001,988.3,762.3,72.7,51.3,"駅",0.9998
tr_img_06005,1529.3,365.7,2670.7,243.3,"札幌市中央区中島公園1-15",0.9389
tr_img_06004,989.0,380.3,139.3,62.0,"清水区",0.7732
tr_img_06003,1502.3,860.3,1544.7,175.3,"南13条西16目",0.9832
tr_img_06007,3139.7,214.7,466.0,137.3,"おごし",0.7081
tr_img_06007,2047.5,1484.0,3864.7,1314.7,"アイス",0.9984
tr_img_06007,2894.0,2710.7,310.7,60.0,"尾を少し開け、",0.7639
tr_img_06010,673.0,299.7,496.7,166.0,"日本橋",0.9990
tr_img_06010,671.7,478.7,500.7,165.3,"人形町",0.9991
tr_img_06010,672.7,678.3,513.3,158.0,"一丁目",0.9596
tr_img_06011,1483.7,926.3,2960.7,647.3,"暖房能力NO",0.8347
tr_img_06011,390.7,1327.3,725.3,78.7,"国内家庭用エアコン6 3kW",0.9057
tr_img_06011,1023.8,1343.3,599.3,78.7,"・7 1kＷクラスにおいて",0.8956
tr_img_06011,1844.5,1359.7,992.7,84.7,"米JIS低温時定格暖房能力MSZ-ZD631",0.9375
tr_img_06011,863.3,1406.0,226.7,54.7,"2015年",1.0000
tr_img_06011,1168.7,1412.7,390.7,61.3,"11月25日現在",0.9996
tr_img_06011,745.0,1731.7,596.7,100.7,"寒冷地仕様",0.9939
tr_img_06011,2827.3,1691.3,104.0,32.0,"ニクイ0",0.8322
tr_img_06011,1863.2,1994.2,482.7,136.7,"太バ順霧ヶ山峰",0.7500
tr_img_06011,2818.7,2145.5,410.0,86.0,"テレビCM炭央中!",0.7878
tr_img_06009,1081.0,434.2,306.0,139.3,"日本橋",0.9998
tr_img_06009,1074.0,561.7,308.0,132.7,"人形町",0.9980
tr_img_06009,1122.7,701.0,202.7,119.3,"丁目",0.9935
tr_img_06002,1737.7,1476.3,1110.0,926.0,"や",0.8049
tr_img_06002,1505.5,2247.0,1424.7,314.0,"カツ井とんかつ",0.9528
tr_img_06002,1477.7,3081.0,1267.3,403.3,"営業中",0.9753
tr_img_06012,1378.2,515.3,1953.3,281.3,"北10条東11丁目",0.9859
tr_img_06013,1080.5,304.3,276.0,63.3,"ザシティベルシテイ",0.9267
tr_img_06013,1071.2,344.0,128.0,50.7,"元住吉店",0.9960
tr_img_06013,1076.7,503.3,332.0,145.3,"駐輪場",0.9999
tr_img_06013,931.5,705.7,96.0,47.3,"ご利用",0.9999
tr_img_06013,931.3,743.7,61.3,36.7,"可能",0.9870
tr_img_06013,931.3,780.7,61.3,37.3,"時間",0.9999
tr_img_06014,2990.2,835.7,1037.3,696.7,"メガ永",0.9098
tr_img_06014,712.2,1127.7,838.7,264.7,"さ一ぼろ地下街",0.9508
tr_img_06014,1873.2,1626.0,178.0,57.3,"水野メ市ネ",0.9033
tr_img_06014,1881.7,1716.2,214.0,111.3,"補聴器",0.9997
tr_img_06014,2219.7,2179.7,104.7,30.0,"定者技優者がい",0.7098
tr_img_06014,2226.0,2218.3,126.7,30.0,"定補覧器専門店",0.8213
tr_img_06014,2219.7,2259.3,88.7,34.7,"(福社法指定店)",0.9197
tr_img_06016,737.0,1064.3,499.3,155.3,"日本橋",0.8341
tr_img_06016,739.7,1229.3,491.3,128.0,"入飛町",0.7170
tr_img_06018,1125.8,269.3,307.3,128.0,"豊平区",0.9997
tr_img_06018,1193.7,1138.8,307.3,1516.7,"中の島1条3丁目1",0.7760
tr_img_06020,1672.0,459.3,880.0,141.3,"水天宮前駅",0.9976
tr_img_06020,778.3,462.0,664.7,148.0,"半蔵門線",0.9991
tr_img_06020,1486.0,1098.8,504.0,106.7,"宮天元",0.5356
tr_img_06020,1831.7,1103.0,155.3,75.3,"白山",0.7281
tr_img_06021,1233.3,173.7,174.7,68.7,"清水区",0.9990
tr_img_06021,1229.8,642.7,121.3,818.7,"中之郷一一丁目",0.7394
tr_img_06015,1685.5,843.7,2228.7,300.7,"吉川内科・循環器科クリ二ック",0.8941
tr_img_06022,1475.0,964.3,1054.0,143.3,"空気単口消火検",0.9504
tr_img_06019,697.3,200.0,209.3,205.3,"歳",0.9987
tr_img_06019,696.0,333.7,200.0,82.0,"からの",0.9985
tr_img_06019,1158.2,734.0,1054.0,549.3,"黒王",0.6852
tr_img_06019,1936.5,1176.3,131.3,210.0,"は",0.8147
tr_img_06019,1232.0,1512.0,866.7,150.7,"まぐろとかつおで",0.8325
tr_img_06019,286.7,2012.8,156.0,118.7,"タウツン",0.7807
tr_img_06019,293.2,2118.3,168.7,122.0,"ビタミンド",0.7040
tr_img_06019,331.8,2335.7,167.3,135.3,"禁合",0.6146
tr_img_06019,339.5,2433.7,228.0,147.3,"栄養食",0.9993
tr_img_06019,1939.3,2376.7,180.0,85.3,"盛り付け",0.8992
tr_img_06019,376.7,2676.3,334.7,166.0,"15歳から0",0.9460
tr_img_06019,454.2,2963.2,479.3,128.7,"皮店被毛の徒良にで帰して",0.7508
tr_img_06024,1563.8,1093.0,1304.7,519.3,"万世町",0.9998
tr_img_06025,1600.0,665.0,1176.0,975.3,"薬",0.7892
tr_img_06025,1604.3,2419.3,152.7,884.0,"お受げいたしまま",0.7291
tr_img_06025,1752.3,2734.0,146.0,705.3,"処方士んでを",0.6639
tr_img_06026,1019.3,350.7,754.7,238.7,"休診中",0.9999
tr_img_06026,885.3,694.7,334.7,76.0,"初診・急患",0.9924
tr_img_06026,1191.3,691.7,240.0,59.3,"随時受付",1.0000
tr_img_06026,1077.7,940.7,576.7,73.3,"オ賢通い歯科医院",0.7122
tr_img_06028,1796.5,1640.8,1720.7,430.0,"ザ・カブロ",0.6592
tr_img_06023,1501.2,826.8,780.7,161.3,"静岡市役所",0.9995
tr_img_06023,1818.5,1077.3,425.3,109.3,"人天王斗人乱",0.5257
tr_img_06023,1321.0,1072.7,392.7,78.7,"静図市役所",0.8818
tr_img_06023,1437.0,1269.7,624.7,144.7,"葵区役所",0.9999
tr_img_06023,99.3,1379.8,106.7,116.0,"館",1.0000
tr_img_06023,1279.0,1512.0,322.0,88.0,"葵区役所",1.0000
tr_img_06023,1690.0,1510.7,364.0,78.7,"O卜30I子",0.5030
tr_img_06023,1358.0,1716.7,486.7,157.3,"紺屋町",0.9998
tr_img_06023,67.7,1783.0,90.0,82.0,"階",1.0000
tr_img_06023,1240.3,1958.0,264.7,104.0,"紺屋町",0.9209
tr_img_06023,1623.7,1956.3,360.7,100.7,"印0トロト炭I",0.5136
tr_img_06023,1367.3,2214.7,480.0,157.3,"呉服町",0.9868
tr_img_06023,1249.8,2458.7,272.0,112.0,"臭服町",0.8598
tr_img_06023,1359.3,2688.5,492.0,169.3,"七間町",0.9999
tr_img_06023,1259.7,2939.0,266.0,108.7,"七面町",0.8522
tr_img_06027,1458.2,119.3,187.3,68.0,"中原区",0.9999
tr_img_06029,877.8,1464.8,729.3,281.3,"出庫注意",0.9701
tr_img_06030,915.0,707.7,236.7,80.7,"五反田",0.9966
tr_img_06030,925.0,864.8,248.7,84.7,"丸子橋",0.9995
tr_img_06030,492.0,1141.5,86.7,34.7,"クランイークル",0.7731
tr_img_06030,495.0,1169.0,64.7,26.0,"元住吉",0.8523
tr_img_06033,915.0,1280.3,438.0,186.0,"三保",0.9903
tr_img_06033,1562.3,1288.3,568.7,178.0,"清水港",0.9994
tr_img_06033,1864.7,1831.7,442.7,194.0,"船越",0.9995
tr_img_06032,927.0,242.2,1292.7,404.0,"やきとり家",0.9934
tr_img_06032,842.7,580.8,1388.0,556.7,"すみれ",0.9984
tr_img_06032,1608.3,661.3,131.3,168.0,"笑",0.9996
tr_img_06036,1220.2,197.2,1030.0,150.7,"静鉄新清永駅",0.9246
tr_img_06036,1238.0,653.3,1117.3,141.3,"静岡市役所清水庁舎",0.9978
tr_img_06036,1211.8,1112.7,1112.7,172.0,"清水マリンパーク",0.9966
tr_img_06031,1477.3,1176.0,1778.7,228.0,"中の島1条3丁目",0.9309
tr_img_06035,1006.5,1027.7,1171.3,166.0,"新品土販売しています",0.8027
tr_img_06039,1271.0,1164.7,552.7,81.3,"南14条西9丁目",0.9996
tr_img_06041,1070.3,788.2,316.7,96.7,"最大料金あり",0.9973
tr_img_06041,1047.7,934.0,267.3,128.0,"空重",0.8517
tr_img_06037,1105.0,880.5,1094.0,512.7,"滑りにくりぐ",0.7477
tr_img_06037,1068.0,1223.7,1244.0,579.3,"ター",0.5718
tr_img_06037,757.0,1803.3,476.7,284.0,"入荷",0.9610
tr_img_06037,927.7,2013.0,575.3,222.0,"してます",0.9853
tr_img_06043,1076.7,521.7,66.7,94.0,"芝",1.0000
tr_img_06043,1082.3,627.0,194.0,83.3,"五丁目",0.9994
tr_img_06044,1603.3,1047.0,950.7,110.0,"平岸1条1丁目",0.9011
tr_img_06038,1001.7,931.0,176.7,58.0,"コヨマ",0.6502
tr_img_06038,1308.8,940.7,318.7,65.3,"リフマップ",0.6321
tr_img_06038,1537.0,1219.3,2679.3,217.3,"単テオーデイオをはしゆよう",0.7192
tr_img_06038,1551.5,1449.7,1799.3,110.0,"自分好みに組み合わせて音の追求を愉しもう。",0.9896
tr_img_06045,578.3,1100.3,458.0,147.3,"日本橋",0.9981
tr_img_06045,574.3,1260.0,467.3,145.3,"人形町",0.9796
tr_img_06045,563.3,1442.8,480.0,164.0,"一丁目",0.9621
tr_img_06040,866.5,293.0,703.3,152.7,"清水郵便局",0.9572
tr_img_06040,1858.7,300.7,480.0,132.0,"清水駅西口",0.9986
tr_img_06040,1934.5,428.3,638.7,142.0,"自転車等駐車場",0.9880
tr_img_06040,995.3,522.7,232.0,94.7,"人口天",0.9852
tr_img_06040,663.7,529.3,296.7,88.0,"清水帥局",0.8449
tr_img_06040,1849.2,644.2,503.3,60.7,"清水站西口自行等存奉姚",0.9172
tr_img_06040,1912.0,711.7,132.0,56.7,"善會子",0.6093
tr_img_06040,2052.0,711.7,161.3,56.7,"刃入号",0.5177
tr_img_06040,2179.3,715.0,100.0,50.0,"千オ",0.5760
tr_img_06040,808.7,877.3,934.7,136.0,"清水簡易裁判所",0.9989
tr_img_06040,588.0,1080.5,481.3,89.3,"清水簡易裁判所",0.9295
tr_img_06040,984.0,1083.7,216.0,82.0,"人口天",0.8083
tr_img_06040,1379.0,1080.3,219.3,82.0,"利斗企",0.6702
tr_img_06040,686.2,1223.8,640.0,143.3,"清水税務署",0.9997
tr_img_06040,536.3,1412.8,334.0,87.3,"清水税局",0.9995
tr_img_06040,865.0,1422.0,215.3,78.7,"人口天",0.9563
tr_img_06040,1097.0,1422.0,203.3,78.7,"川早企",0.7768
tr_img_06040,1001.8,1554.5,844.7,123.3,"は一とびあ清水",0.9291
tr_img_06040,2007.2,1688.3,166.0,86.0,"人口",0.9862
tr_img_06040,913.3,1738.8,668.0,89.3,"静市清水社会福祉会館",0.9883
