Image,Total_Boxes,Retained_Boxes,Avg_Conf,Japanese_Text
tr_img_06001,9,9,0.9765,"北給田 | つぎは | 中給 | 田 | 荻 | 先 | 窪 | 駅"
tr_img_06002,2,2,0.9818,"カツ井とんかつ | 営業中"
tr_img_06003,2,2,0.9137,"13条西16目"
tr_img_06004,0,0,0.0000,""
tr_img_06005,1,1,0.7796,"札幌市中央区中島公園イ15"
tr_img_06006,2,2,0.9736,""
tr_img_06007,5,4,0.8399,"おさし | アイス | 扉を少し開け"
tr_img_06008,0,0,0.0000,""
tr_img_06009,5,4,0.9833,"日本橋 | 形町 | 人 | 丁目"
tr_img_06010,4,3,0.8901,"人形町 | 一目"
tr_img_06011,12,9,0.8626,"スにおいて | の低温時定格畷 | 指能力MsZ-ZD6316s | 201日 | 月25日現在。 | 寒冷地仕様"
tr_img_06012,2,2,0.9392,"北10条東11丁目"
tr_img_06013,8,8,0.9459,"ザシティベルシティ | 元住吉店 | 駐輪場 | ご利用 | 時間"
tr_img_06014,7,6,0.8877,"さつぼろ地下街 | 補聴器 | 認定補疏器専門店 | (福社法若定店"
tr_img_06015,2,2,0.8094,"吉川内条 | 信増器料クリニック"
tr_img_06016,4,3,0.8768,"日本橋 | 入形町"
tr_img_06017,0,0,0.0000,""
tr_img_06018,4,4,0.9448,"豊平区 | 中の目1条3丁目1"
tr_img_06019,9,8,0.8476,"歳 | からの | まくろとか | ビタミンド | 盛り付け例 | 15歳からの"
tr_img_06020,16,13,0.9624,"半蔵門線 | 水天宮前駅 | 山首宮天"
tr_img_06021,3,2,0.9146,"青水区"
tr_img_06022,1,1,0.7192,"空気単蘭消人松"
tr_img_06023,23,21,0.9633,"静岡市役所 | 静市役所 | 葵区役所 | 館 | 葵区役所 | 紺屋町 | 階 | 紺屋町 | 呉服町 | 臭服町 | 七間町 | 七向町"
tr_img_06024,2,2,0.9700,"万世町"
tr_img_06025,4,2,0.9786,"薬"
tr_img_06026,10,9,0.8820,"休診中 | 初診・急患 | 随時受付 | オス通リ歯科医院"
tr_img_06027,3,3,0.8507,""
tr_img_06028,3,2,0.9937,""
