Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06001,10,10,0.9885
tr_img_06002,3,3,0.9487
tr_img_06003,2,2,0.9826
tr_img_06004,4,4,0.8682
tr_img_06005,1,1,0.8164
tr_img_06006,3,3,0.8386
tr_img_06007,3,3,0.8239
tr_img_06008,0,0,0.0000
tr_img_06009,4,4,0.9940
tr_img_06010,4,4,0.9982
tr_img_06011,11,11,0.8988
tr_img_06012,3,3,0.9196
tr_img_06013,9,9,0.9441
tr_img_06014,10,10,0.8491
tr_img_06015,1,1,0.9291
tr_img_06016,4,4,0.8785
tr_img_06017,0,0,0.0000
tr_img_06018,4,4,0.9562
tr_img_06019,19,19,0.8958
tr_img_06020,17,17,0.8500
tr_img_06021,5,5,0.9397
tr_img_06022,1,1,0.9555
tr_img_06023,26,26,0.9218
tr_img_06024,2,2,0.9737
tr_img_06025,4,4,0.8474
tr_img_06026,8,8,0.8762
tr_img_06027,4,4,0.9691
tr_img_06028,3,3,0.9200
tr_img_06029,2,2,0.7555
tr_img_06030,8,8,0.8802
tr_img_06031,2,2,0.9613
tr_img_06032,3,3,0.8696
tr_img_06033,9,9,0.9891
tr_img_06034,0,0,0.0000
tr_img_06035,5,5,0.8308
tr_img_06036,20,20,0.9625
tr_img_06037,5,5,0.8227
tr_img_06038,4,4,0.8642
tr_img_06039,2,2,0.9790
tr_img_06040,47,47,0.9295
tr_img_06041,3,3,0.8104
tr_img_06042,1,1,0.7843
tr_img_06043,5,5,0.9138
tr_img_06044,2,2,0.9978
tr_img_06045,4,4,0.9937
tr_img_06046,2,2,0.9026
tr_img_06047,3,3,0.8975
tr_img_06048,5,5,0.8780
tr_img_06049,2,2,0.9974
tr_img_06050,1,1,0.5894
tr_img_06051,2,2,0.6464
tr_img_06052,3,3,0.8381
tr_img_06053,4,4,0.9881
tr_img_06054,2,2,0.9424
tr_img_06055,52,52,0.9565
tr_img_06056,2,2,0.9678
tr_img_06057,1,1,0.5343
tr_img_06058,3,3,0.9965
tr_img_06059,0,0,0.0000
tr_img_06060,1,1,1.0000
tr_img_06061,5,5,0.9814
tr_img_06062,4,4,0.9711
tr_img_06063,3,3,0.7861
tr_img_06064,11,11,0.9645
tr_img_06065,0,0,0.0000
tr_img_06066,3,3,0.9634
tr_img_06067,19,19,0.9074
tr_img_06068,6,6,0.9108
tr_img_06069,2,2,0.9261
tr_img_06070,1,1,0.5558
tr_img_06071,1,1,0.9265
tr_img_06072,16,16,0.8185
tr_img_06073,1,1,0.7292
tr_img_06074,1,1,0.7670
