Image,Total_Boxes,Retained_Boxes,Average_Confidence,GT_Count,OCR_JP_Count,Matched_Count,Precision,Recall,F1
tr_img_06001,10,8,0.9883,21,8,2,0.2500,0.0952,0.1379
tr_img_06002,3,2,0.9715,5,2,1,0.5000,0.2000,0.2857
tr_img_06003,2,1,0.9741,1,1,1,1.0000,1.0000,1.0000
tr_img_06004,4,1,0.9931,3,1,1,1.0000,0.3333,0.5000
tr_img_06005,1,1,0.8164,1,1,0,0.0000,0.0000,0.0000
tr_img_06006,3,0,0.0000,46,0,0,0.0000,0.0000,0.0000
tr_img_06007,3,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06008,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06009,4,3,0.9993,3,3,3,1.0000,1.0000,1.0000
tr_img_06010,4,3,0.9992,3,3,3,1.0000,1.0000,1.0000
tr_img_06011,11,7,0.8912,7,7,1,0.1429,0.1429,0.1429
tr_img_06012,3,1,0.9896,1,1,1,1.0000,1.0000,1.0000
tr_img_06013,9,4,0.9765,6,4,1,0.2500,0.1667,0.2000
tr_img_06014,10,4,0.8964,19,4,1,0.2500,0.0526,0.0870
tr_img_06015,1,1,0.9291,3,1,1,1.0000,0.3333,0.5000
tr_img_06016,4,3,0.8782,3,3,3,1.0000,1.0000,1.0000
tr_img_06017,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06018,4,2,0.9154,4,2,2,1.0000,0.5000,0.6667
tr_img_06019,19,8,0.9691,15,8,2,0.2500,0.1333,0.1739
tr_img_06020,17,3,0.9028,2,3,1,0.3333,0.5000,0.4000
tr_img_06021,5,2,0.8907,5,2,1,0.5000,0.2000,0.2857
tr_img_06022,1,1,0.9555,1,1,0,0.0000,0.0000,0.0000
tr_img_06023,26,12,0.9855,11,12,11,0.9167,1.0000,0.9565
tr_img_06024,2,1,0.9998,1,1,1,1.0000,1.0000,1.0000
tr_img_06025,4,2,0.8701,4,2,1,0.5000,0.2500,0.3333
tr_img_06026,8,4,0.9648,4,4,2,0.5000,0.5000,0.5000
tr_img_06027,4,1,0.9999,2,1,1,1.0000,0.5000,0.6667
tr_img_06028,3,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06029,2,1,0.9996,2,1,1,1.0000,0.5000,0.6667
tr_img_06030,8,3,0.9611,6,3,4,1.3333,0.6667,0.8889
